RUTAS,00-01h,01-02h,02-03h,03-04h,04-05h,05-06h,06-07h,07-08h,08-09h,09-10h,10-11h,11-12h,12-13h,13-14h,14-15h,15-16h,16-17h,17-18h,18-19h,19-20h,20-21h,21-22h,22-23h,23-00h,Total
1,16,7,4,3,3,6,25,74,88,80,71,74,75,80,93,80,64,73,80,82,72,52,34,25,1261
2,21,11,6,4,4,6,18,69,87,64,59,67,74,81,95,79,64,68,72,72,68,52,34,28,1203
5,8,4,3,2,3,11,31,59,63,59,53,56,56,57,64,58,48,48,53,51,43,32,20,14,896
6,17,8,5,4,4,8,25,52,61,53,51,57,62,67,76,67,55,55,57,57,57,46,33,24,1001
7,14,6,3,2,5,13,33,69,75,70,61,63,63,69,77,71,59,62,67,69,64,50,32,22,1119
8,17,7,4,3,5,10,25,52,62,54,53,60,62,69,77,64,55,57,61,61,59,47,32,24,1020
9,15,8,5,4,4,9,27,82,92,75,68,69,70,74,82,65,58,63,66,73,70,53,34,23,1189
10,21,12,8,6,5,7,19,48,51,47,42,44,49,59,71,63,49,51,54,55,59,49,34,27,930
11,15,7,4,3,4,10,42,99,79,85,77,75,74,89,96,82,79,88,94,92,81,65,40,23,1403
12,30,14,8,5,4,8,23,60,83,71,72,84,96,113,141,116,75,68,84,89,85,80,55,41,1505
13,10,6,4,3,2,4,14,40,42,37,31,32,33,34,38,32,31,34,35,37,36,28,18,14,595
14,9,4,2,2,1,2,7,20,30,25,24,28,31,40,57,46,28,30,34,35,35,29,17,13,549
17,11,6,4,3,3,6,17,39,48,42,38,43,46,51,65,53,36,39,43,46,46,34,24,16,759
18,10,5,3,2,2,6,21,57,61,51,46,48,50,53,57,45,37,43,49,51,47,37,24,16,821
21,11,6,4,4,3,5,15,46,61,54,48,50,47,46,53,50,47,51,53,51,48,36,22,16,827
22,17,9,6,4,4,6,17,46,58,51,47,52,54,58,66,58,46,49,52,53,52,42,29,23,899
24,15,9,6,5,5,8,23,52,60,48,50,56,57,60,68,59,47,50,53,54,53,42,29,22,931
25,21,12,8,6,6,8,25,77,89,80,76,82,82,83,89,76,67,72,76,76,73,58,39,31,1312
26,27,16,11,8,6,7,20,62,86,76,74,82,86,88,102,91,71,74,80,80,78,62,44,36,1367
30,3,2,1,1,1,1,3,16,26,21,19,20,19,19,23,19,16,17,18,18,16,11,7,5,302
32,8,4,2,2,1,2,7,16,24,22,19,21,24,27,31,25,20,20,22,23,24,19,13,10,386
33,6,3,2,2,2,4,13,34,41,38,38,37,35,31,32,27,26,26,27,30,27,21,14,9,525
34,4,3,2,2,1,2,4,13,19,17,19,20,20,22,24,19,16,15,17,17,16,12,8,6,298
38,5,2,2,1,1,3,9,24,28,25,23,24,24,26,30,26,21,23,24,25,24,19,12,8,409
39,7,4,2,2,2,2,9,22,25,22,22,24,25,27,31,26,21,22,24,25,25,21,14,11,415
42,5,3,2,1,3,7,19,34,34,26,24,26,27,30,35,29,23,24,24,24,23,17,11,8,459
43,7,3,2,2,2,4,10,29,34,30,27,29,30,33,36,32,27,29,31,32,29,21,14,10,503
45,9,4,2,2,3,8,26,71,78,62,47,48,51,59,73,64,50,55,57,56,49,35,21,14,944
46,11,6,3,3,3,8,36,85,83,69,56,60,59,66,83,73,56,62,66,67,62,44,27,18,1106
47,13,6,4,3,2,5,21,57,71,57,50,54,59,69,82,72,55,57,63,65,65,47,28,20,1025
50,13,6,3,2,2,7,21,51,62,52,44,48,53,64,84,73,50,51,58,61,59,47,32,19,962
51,9,5,3,2,3,8,24,57,60,49,43,46,46,52,61,53,44,47,50,52,47,35,22,16,834
53,34,19,12,9,9,12,32,79,72,60,53,54,67,87,102,94,77,81,88,92,96,80,56,44,1409
59,13,6,4,3,3,6,25,65,78,55,46,49,54,65,82,67,48,53,58,60,61,44,26,19,990
72,26,14,11,13,21,54,138,169,165,143,131,141,147,158,165,151,128,129,131,127,120,99,67,45,2493
73,23,12,7,6,8,25,76,128,132,117,108,113,116,128,145,137,109,109,115,114,108,81,57,38,2012
74,27,15,10,10,13,27,75,115,105,103,92,98,103,112,127,120,97,100,106,102,99,82,60,42,1840
78,6,3,2,2,2,4,18,66,87,57,40,39,39,42,54,47,35,35,37,36,34,24,16,10,735
83,4,2,1,1,1,2,7,16,20,18,16,17,18,19,22,19,16,16,16,16,15,12,8,6,288
84,6,3,2,1,2,4,11,32,38,31,27,28,29,33,40,33,24,26,28,30,27,21,14,10,500
87,2,1,1,1,1,1,5,16,18,17,16,16,16,16,18,15,11,12,12,12,11,7,5,4,234
88,4,2,1,1,1,4,15,42,42,31,25,27,28,31,36,29,21,24,26,27,24,18,11,7,477
89,19,10,6,4,4,7,21,51,56,54,49,52,52,56,63,54,46,49,51,53,53,45,31,25,911
90,18,11,7,5,5,8,23,61,70,64,61,64,63,63,68,58,48,52,55,57,55,43,30,24,1013
